Lat,Longt,Cluster,RelativeHumidity
38.92,-95.4538,0,100.0
35.4525,-97.6968,0,64.75
38.2652,-84.681,0,100.0
38.94872,-84.66257,0,60.5
44.9271,-72.9821,0,61.5
45.5083,-73.5625,0,0.0
46.7427,-71.4388,0,76.0
42.246,-72.6763,2,94.75
42.9108,-76.9083,0,63.25
46.638,-111.943,0,18.333333333333332
35.0545,-106.54,0,25.5
27.8733,-82.2478,0,94.25
31.8287,-106.4488,0,27.25
38.5797,-76.9963,0,80.66666666666667
38.9747,-76.3342,0,82.6
38.4943,-76.7022,0,66.5
34.2992,-118.5112,0,30.25
39.3725,-101.0483,0,19.0
47.6195,-122.0455,0,57.25
41.5655,-71.4943,0,93.0
34.1543,-114.2575,0,11.25
44.8263,-68.7177,0,100.0
43.8492,-69.815,0,94.2
30.3597,-91.093,0,67.5
41.4925,-72.2758,0,100.0
41.491,-72.8405,0,86.33333333333333
40.4,-75.8333,0,99.0
43.2842,-73.654,2,88.0
40.4497,-74.4785,0,99.0
39.8847,-74.1738,0,86.0
38.6052,-77.1363,0,78.5
38.9767,-76.5505,0,100.0
18.4,-66.08,0,53.5
42.0312,-73.8962,2,92.0
39.9848,-75.3793,0,76.0
43.010529999999996,-79.01966999999999,0,28.5
43.22,-79.8552,0,10.0
42.9938,-80.3172,0,49.0
43.4043,-80.6335,0,0.0
38.9172,-79.494,0,0.0
36.73,-78.3608,0,57.0
36.135,-81.1733,0,52.666666666666664
36.0992,-81.8897,0,95.66666666666667
40.0208,-83.0543,0,40.75
39.6272,-84.2793,0,100.0
42.5235,-82.8774,0,43.0
40.6463,-111.9015,0,18.0
32.34581,-90.12427,0,59.25
26.9963,-82.3967,0,100.0
28.2457,-80.6145,0,91.75
27.584999999999997,-80.4343,0,61.0
42.37625,-87.99108000000001,0,53.75
34.0885,-84.3743,0,46.75
33.86335,-84.09166,0,67.4
33.4045,-111.5732,0,18.6
33.345,-84.4457,0,92.75
43.1438,-88.593,0,53.0
38.6048,-78.7855,0,66.25
39.1847,-74.7502,0,75.0
39.4922,-105.3142,0,21.75
44.735,-67.5018,0,100.0
44.2035,-70.69,0,95.6
44.2917,-68.342,0,68.5
33.991,-114.433,0,14.5
38.9522,-92.33,0,100.0
38.6717,-90.5392,0,42.5
44.031,-92.5327,0,100.0
43.9692,-92.4802,0,39.75
41.2862,-96.15,0,84.5
41.1922,-104.8368,0,13.5
41.428,-96.155,0,66.75
41.4488,-96.4847,0,77.0
34.7942,-86.7335,0,52.0
47.7355,-122.2008,0,65.5
48.5542,-123.4485,0,78.0
46.1827,-122.9583,0,37.0
47.6358,-117.6963,0,100.0
30.473,-87.2352,0,65.5
33.69,-114.216,0,11.5
30.4525,-87.2168,0,70.0
43.1575,-71.895,0,64.0
37.25,-79.93,0,60.0
30.665,-81.5388,0,84.0
38.9333,-95.2068,0,63.5
40.76,-74.8463,0,99.0
28.5763,-81.4442,0,89.5
34.1458,-84.1058,0,77.75
39.2431,-76.9983,0,79.5
43.6472,-116.3162,0,17.0
34.7122,-83.4399,0,67.0
24.6693,-81.3605,0,83.5
40.71156,-73.6417,3,79.25
41.9929,-71.1669,0,74.66666666666667
28.4845,-80.8028,0,91.0
33.84983,-117.87983,0,39.75
40.3447,-105.0997,0,20.0
40.3747,-75.2703,0,0.0
43.4522,-96.1798,0,53.0
39.7405,-74.2905,0,65.25
41.63,-72.9452,0,100.0
38.3915,-86.9302,0,75.0
38.429,-87.778,0,70.25
42.458,-71.1955,0,78.0
29.8802,-85.2142,0,86.0
27.9947,-81.926,0,100.0
42.4825,-79.3427,0,44.0
40.9467,-76.4522,2,72.0
38.115790000000004,-122.26831000000001,0,19.8
29.663,-82.3347,0,43.5
38.875370000000004,-99.31108,0,47.75
44.0108,-72.4833,0,87.0
38.6558,-87.1722,0,50.25
40.992,-89.45716999999999,0,53.0
40.778,-89.7547,0,100.0
34.9638,-82.7613,0,100.0
32.85102,-97.27486,0,38.5
30.1955,-85.6742,0,35.0
45.5083,-73.7963,0,68.66666666666667
40.9808,-111.9042,0,100.0
41.1142,-112.0618,0,18.0
50.149390000000004,-96.88905,0,77.0
30.3958,-97.6917,0,56.5
46.8912,-100.7778,0,42.5
41.2198,-96.489,0,73.0
29.553,-98.6247,0,100.0
35.63883,-78.863,0,68.5
31.636,-97.48,0,70.5
32.396,-97.7848,0,22.25
32.415,-97.7992,0,43.0
32.5677,-97.2657,0,46.75
42.708,-71.4453,0,78.0
42.0368,-97.4525,0,51.75
42.721,-71.4698,0,50.0
45.01081,-124.0061,0,100.0
45.6605,-122.6042,0,67.0
34.7245,-86.6453,0,61.0
34.6537,-86.5817,0,55.25
43.9407,-71.1292,0,96.0
36.5238,-82.5072,0,2.0
